NOMBRE,APELLIDO,EMAIL,CATTER
Franco,Soto,f.soto@gmail.com,true
German,Cabral,g.cabral@gmail.com,true
Matias,Rios,m.rios@gmail.com,true
Juan,Prongue,j.prongue@gmail.com,false
Neri,Guidi,n.guidi@gmail.com,true
Carina,Luquez,c.luquez@gmail.com,true
Julian,Farina,j.farina@gmail.com,false
Nombre 7,Apellido 7,mail7@gmail.com,true
Nombre 8,Apellido 8,mail8@gmail.com,false
Nombre 9,Apellido 9,mail9@gmail.com,true
Nombre 10,Apellido 10,mail10@gmail.com,true
Nombre 11,Apellido 11,mail11@gmail.com,false
Nombre 12,Apellido 12,mail12@gmail.com,true
Nombre 13,Apellido 13,mail13@gmail.com,true
Nombre 14,Apellido 14,mail14@gmail.com,false
Nombre 15,Apellido 15,mail15@gmail.com,false
Nombre 16,Apellido 16,mail16@gmail.com,false
Nombre 17,Apellido 17,mail17@gmail.com,false
Nombre 18,Apellido 18,mail18@gmail.com,true
Nombre 19,Apellido 19,mail19@gmail.com,true
Nombre 20,Apellido 20,mail20@gmail.com,false
Nombre 21,Apellido 21,mail21@gmail.com,true
Nombre 22,Apellido 22,mail22@gmail.com,false
Nombre 23,Apellido 23,mail23@gmail.com,false
Nombre 14,Apellido 24,mail24@gmail.com,true
Nombre 25,Apellido 25,mail25@gmail.com,false
Nombre 26,Apellido 26,mail26@gmail.com,true
